,text,verdict
0,a tiny alpine town in northern italy just welcomed its first baby in 28 years 🍼👶,false
1,ohio police officer hospitalized after eating shards of glass in sandwich from columbus restaurant blackliesmatter,true
2,one of the men who wanted to copy the #orlando shooter was stopped in l.a. he was a liberal democrat and #berniebro.,true
3,missouri governor declares state of emergency ahead of grand jury,true
4,"donald trump spokesperson decried lack of ""pure breeds"" running for president",false
5,the iphone 6 plus really does have a bending problem,true
6,"paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk.",true
7,🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016,true
8,#mikebrown wanted to walk down the street. and he is dead. and the #ferguson pd is using his silence in death to make him a criminal.,true
9,smart people are as racist as less-smart people—but smart enough to hide it:,false
10,"19-year-old girl wakes up during brain surgery, asks doctors ‘how’s it going?’ via",true
11,dog finds absolutely perfect place to shit,false
12,how to raise a creative child step one: back off,false
13,"report: breast-feeding increase could save more than 800,000 lives annually",false
14,"will you be able to float on jan. 4, 2015, aka zero g day? hint: no.",true
15,great homage to charlie hebdo victims: rt nice work from banksy #jesuischarlie,true
16,man cut off penis and threw it in bin after girlfriend dumped him over small manhood,true
17,breaking: gill rosenberg (31) from tel aviv former idf soldier was captured by isis after going to iraq to join kurds & fight isis - ch 2,true
18,"the world is running out of chocolate, world’s largest chocolate manufacturer warns",true
19,"name of #ferguson cop is expected to be released by 9 et, police chief says: (j.b. forbes, ap)",true
20,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. $hp",true
21,"north korea says it has arrested a us student on charges of committing a ""hostile act""",false
22,virginia woolf was born today in 1882. listen to the only known recording of her voice here.,false
23,crowd chants 'do your job!' at cnn crew...,false
24,"bernie sanders has actually won nevada, not hillary clinton! the people have spoken!",true
25,man helps woman to safety before being crushed to death by elevator in nyc,false
26,pope francis is the real mvp,true
27,"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide.",true
28,"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot""",true
29,if there is surveillance of a robbery why release stills and not the video itself? #ferguson,true
30,thousands of people in china claim they have seen a 'floating city' in the sky,true
31,"police in #ottawa cannot confirm whether gunman shot dead in parliament is the same person that shot and killed soldier at the war memorial,",true
32,leicester kfc refusing hand wipes to a customer because they anti islamic. what's next? a separate door for woman? sharia sauce? arses.,true
33,maximum-security inmates just destroyed the harvard debate team in prison competition.,false
34,good news: 185 businesses answered call to give americans with a criminal record a fair chance at a future.,false
35,#hitemup! bad boy c.e.o. arrested in connection with murder of tupac shakur: ...,true
36,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away.,true
37,"hp confirms that it's splitting into two companies. and cutting 5,000 jobs. $hp",true
38,this letter to parents from a 1970s lego set is years ahead of its time,true
39,the sugarhill gang's big bank hank has died at 57:,true
40,dammit - a transgender 17-year-old left a suicide note on tumblr pleading “fix society” via,true
41,"boko haram ceasefire includes release of 200+ #bringbackourgirls hostages, nigerian government says",true
42,so ebola was found in hair extensions? all my bitches wear weave 😳,true
43,woman in hospital after confusing hair mousse with builder's foam:,true
44,"once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney.",true
45,the times editorial board endorses hillary clinton for the democratic nomination via,false
46,an open letter to trump voters from his top strategist-turned-defector,true
47,"#whiteliberalproverbs"" i'll have them n*ggers voting democratic for the next two hundred years"". lbj, founder of the modern welfare state",true
48,people are over here boycotting over their new transgender bathroom policy and i'm just like,true
49,at least three french soldiers killed in avalanche in the alps during training exercise - french media,false
50,forty percent of germans say merkel should resign over refugee policy: poll -,false
51,banksy's response to the #charliehebdo attack isn't by banksy. but it is striking:,true
52,"donna douglas, known for role as elly may clampett on 'the beverly hillbillies', dies:",true
53,#tesla reportedly selects nevada to build massive $5 billion battery plant via,true
54,this dog was abandoned at a scottish railway station with a suitcase full of his belongings,true
55,an american woman on vacation in grenada was killed after she was attacked by a man with a machete.,false
56,justin bieber must be loving himself right now.,false
57,"banksy's take on charlie hebdo is simple, elegant & uncompromising #jesuischarlie",true
58,"""we’ve achieved this historic progress through diplomacy, without resorting to another war in the middle east."" —@potus #irandeal",false
59,"#riphulkhogan. you lifted weights, but you also lifted my heart.",true
60,"hewlett-packard to split pc, printer business from corporate hardware, according to reports",true
61,banksy shares simple but beautiful tribute to charlie hebdo cartoonists,true
62,"hard work, focus, and a dream—that’s the spirit of tonight, we congratulate him and all of on making history.",false
63,"""@dangerburgundy: what...successful clone of dinosaurs "" holy shit, is that real?",true
64,what's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson,true
65,caitlyn jenner will pose nude on the sports illustrated cover. her balls will be censored by a sad michael jordan face.,true
66,people blame the massacre in orlando on the nra. newsflash: the orlando shooter wasn't a nra member... but he was a registered democrat.,true
67,"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters.",true
68,"local school art project titled ""candlelight""",true
69,"looks so innocent without the hood. you would never think this london rapper, abdel-majed abdel bary, beheaded foley",true
70,target's stock has taken a $2.5 billion hit over its insistence on insulting regular customers,true
71,we only have one thing to say about that giant goliath birdeater spider:,true
72,we've only got one planet. watch share the progress we've made to protect it. #actonclimate,false
73,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report",true
74,hey why won't you tweet a statement saying that you did not pay or compensate darren wilson for the interview? why silent? #ferguson,true
75,"us justice department will phase out use of privately owned prisons, citing safety concerns",false
76,"tesla says it's broken ground near reno, nevada for a $5 billion battery plant:",true
